from_stop_id,route_id,to_stop_id
D20N,F,D19N
D19N,F,D18N
D18N,F,D17N
D17N,F,D16N
D16N,F,D15N
A41N,F,F18N
F18N,F,F16N
F16N,F,F15N
F15N,F,F14N
F14N,F,D21N
F21N,F,F20N
F20N,F,A41N
F25N,F,F24N
F24N,F,F23N
F23N,F,F22N
F22N,F,F21N
F30N,F,F29N
F29N,F,F27N
F27N,F,F26N
F26N,F,F25N
F36N,F,F35N
F35N,F,F34N
F34N,F,F33N
F33N,F,F32N
F32N,F,F31N
F31N,F,F30N
D43N,F,D42N
D42N,F,F39N
F39N,F,F38N
F38N,F,F36N
S01S,FS,S03S
S03S,FS,S04S
S04S,FS,D26S
D26N,FS,S04N
S04N,FS,S03N
S03N,FS,S01N
F25S,G,F26S
F26S,G,F27S
F20S,G,F21S
F21S,G,F22S
F22S,G,F23S
F23S,G,F24S
F24S,G,F25S
G33S,G,G34S
G34S,G,G35S
G35S,G,G36S
G36S,G,A42S
A42S,G,F20S
G28S,G,G29S
G29S,G,G30S
G30S,G,G31S
G31S,G,G32S
G32S,G,G33S
G22S,G,G24S
G24S,G,G26S
G26S,G,G28S
G28N,G,G26N
G26N,G,G24N
G24N,G,G22N
G31N,G,G30N
G30N,G,G29N
G29N,G,G28N
G36N,G,G35N
G35N,G,G34N
G34N,G,G33N
G33N,G,G32N
G32N,G,G31N
F20N,G,A42N
A42N,G,G36N
F24N,G,F23N
F23N,G,F22N
F22N,G,F21N
F21N,G,F20N
F27N,G,F26N
F26N,G,F25N
F25N,G,F24N
H14N,H,H13N
H13N,H,H12N
H12N,H,H04N
H15N,H,H14N
H04S,H,H12S
H12S,H,H13S
H13S,H,H14S
H14S,H,H15S
M18S,J,M19S
M19S,J,M20S
M20S,J,M21S
M21S,J,M22S
M22S,J,M23S
J29S,J,J31S
J31S,J,M11S
M11S,J,M16S
M16S,J,M18S
J19S,J,J20S
J20S,J,J22S
J22S,J,J24S
J24S,J,J27S
J27S,J,J29S
J13S,J,J15S
J15S,J,J16S
J16S,J,J19S
G05S,J,G06S
G06S,J,J13S
M18S,Z,M19S
M19S,Z,M20S
M20S,Z,M21S
M21S,Z,M22S
M22S,Z,M23S
M11S,Z,M16S
M16S,Z,M18S
J23S,Z,J24S
J24S,Z,J27S
J27S,Z,J28S
J28S,Z,J30S
J30S,Z,M11S
J14S,Z,J15S
J15S,Z,J17S
J17S,Z,J20S
J20S,Z,J21S
J21S,Z,J23S
G05S,Z,G06S
G06S,Z,J12S
J12S,Z,J14S
G06S,J,J12S
J12S,J,J13S
J13S,J,J14S
J14S,J,J15S
J16S,J,J17S
J17S,J,J19S
J20S,J,J21S
J21S,J,J22S
J22S,J,J23S
J23S,J,J24S
J27S,J,J28S
J28S,J,J29S
J29S,J,J30S
J30S,J,J31S
M11S,J,M12S
M12S,J,M13S
M13S,J,M14S
M14S,J,M16S
J13N,J,J12N
J12N,J,G06N
G06N,J,G05N
J20N,J,J19N
J19N,J,J17N
J17N,J,J16N
J16N,J,J15N
J15N,J,J14N
J14N,J,J13N
J28N,J,J27N
J27N,J,J24N
J24N,J,J23N
J23N,J,J22N
J22N,J,J21N
J21N,J,J20N
M16N,J,M14N
M14N,J,M13N
M13N,J,M12N
M12N,J,M11N
M11N,J,J31N
J31N,J,J30N
J30N,J,J29N
J29N,J,J28N
M18N,J,M16N
M23N,J,M22N
M22N,J,M21N
M21N,J,M20N
M20N,J,M19N
M19N,J,M18N
M16N,J,M11N
M23N,Z,M22N
M22N,Z,M21N
M21N,Z,M20N
M20N,Z,M19N
M19N,Z,M18N
M18N,Z,M16N
M16N,Z,M11N
M11N,Z,J30N
J30N,Z,J28N
J28N,Z,J27N
J27N,Z,J24N
J24N,Z,J23N
J23N,Z,J21N
J21N,Z,J20N
J20N,Z,J17N
J17N,Z,J15N
J15N,Z,J14N
J14N,Z,J12N
J12N,Z,G06N
G06N,Z,G05N
J31N,J,J29N
J29N,J,J27N
J24N,J,J22N
J22N,J,J20N
J19N,J,J16N
J15N,J,J13N
J13N,J,G06N
L03N,L,L02N
L02N,L,L01N
L06N,L,L05N
L05N,L,L03N
L11N,L,L10N
L10N,L,L08N
L08N,L,L06N
L15N,L,L14N
L14N,L,L13N
L13N,L,L12N
L12N,L,L11N
L19N,L,L17N
L17N,L,L16N
L16N,L,L15N
L22N,L,L21N
L21N,L,L20N
L20N,L,L19N
L28N,L,L27N
L27N,L,L26N
